x,l
http://vocab.getty.edu/aat/300446892,chādyakī
http://vocab.getty.edu/aat/300446855,nāgadala
http://vocab.getty.edu/aat/300446911,koḍuṅgai
http://vocab.getty.edu/aat/300447131,padmaśilā
http://vocab.getty.edu/aat/300446912,trika
http://vocab.getty.edu/aat/300446631,alpanāsī
http://vocab.getty.edu/aat/300446230,kṣudranāsī
http://vocab.getty.edu/aat/300446491,pataṅga
http://vocab.getty.edu/aat/300446379,miśra-rudrakānta
http://vocab.getty.edu/aat/300446753,gala
http://vocab.getty.edu/aat/300447394,arpita
http://vocab.getty.edu/aat/300446528,lambinī
http://vocab.getty.edu/aat/300446200,puṣpakaṇṭha
http://vocab.getty.edu/aat/300447215,bhadraka
http://vocab.getty.edu/aat/300447320,kapōtabhadra
http://vocab.getty.edu/aat/300446759,vajrakumbha
http://vocab.getty.edu/aat/300447059,vājanapaṭṭī
http://vocab.getty.edu/aat/300446312,vēdī-mattavāraṇa
http://vocab.getty.edu/aat/300447074,galapaṭṭī
http://vocab.getty.edu/aat/300447075,prati-kaṇṭha
http://vocab.getty.edu/aat/300446829,adhaḥakampa
http://vocab.getty.edu/aat/300447110,vai-ambalam
http://vocab.getty.edu/aat/300446831,skandha-vēdī
http://vocab.getty.edu/aat/300447143,mattālamba
http://vocab.getty.edu/aat/300446893,dēvakulikā
http://vocab.getty.edu/aat/300446274,vidyādhara-paṭṭikā
http://vocab.getty.edu/aat/300446762,kakṣakūṭaka
http://vocab.getty.edu/aat/300446824,padmōpāna
http://vocab.getty.edu/aat/300447092,kaṭakāvṛta
http://vocab.getty.edu/aat/300447303,triśūladhvaja
http://vocab.getty.edu/aat/300446210,saḍaṅga-vēdībhadra
http://vocab.getty.edu/aat/300447165,prāggrīva
http://vocab.getty.edu/aat/300446308,kuḍya
http://vocab.getty.edu/aat/300446655,ajapāda
http://vocab.getty.edu/aat/300448620,Phoenix dactylifera (species)
http://vocab.getty.edu/aat/300451037,physics buildings
http://vocab.getty.edu/aat/300448911,architectural ensembles
http://vocab.getty.edu/aat/300386984,abandoned complexes
http://vocab.getty.edu/aat/300448941,national pavilions
http://vocab.getty.edu/aat/300448947,pavilions (light buildings)
http://vocab.getty.edu/aat/300006562,Hebrew schools (buildings)
http://vocab.getty.edu/aat/300449005,cave settlements
http://vocab.getty.edu/aat/300449012,airport chapels
http://vocab.getty.edu/aat/300004591,antiparabemata
http://vocab.getty.edu/aat/300387523,historic centers
http://vocab.getty.edu/aat/300447151,khaṇḍa
http://vocab.getty.edu/aat/300443518,dīngfú
http://vocab.getty.edu/aat/300444030,Cytisus scoparius
http://vocab.getty.edu/aat/300448954,memorial halls
http://vocab.getty.edu/aat/300007353,public baths
http://vocab.getty.edu/aat/300444284,two-way sheathing
http://vocab.getty.edu/aat/300006495,schools (buildings)
http://vocab.getty.edu/aat/300446683,kalyāṇamaṇḍapa
http://vocab.getty.edu/aat/300445043,pyramid temple complexes
http://vocab.getty.edu/aat/300448982,entrance lodges
http://vocab.getty.edu/aat/300445643,private family quarters
http://vocab.getty.edu/aat/300447335,uttaravēdī
http://vocab.getty.edu/aat/300446758,karṇāli
http://vocab.getty.edu/aat/300446414,karṇalatā
http://vocab.getty.edu/aat/300446755,kuḍapaḍai
http://vocab.getty.edu/aat/300446212,pallavī
http://vocab.getty.edu/aat/300446593,Nāgara-ghaṇṭā
http://vocab.getty.edu/aat/300447049,citra-pōtikā
http://vocab.getty.edu/aat/300446851,tirumāligai
http://vocab.getty.edu/aat/300446958,bhadragavākṣa
http://vocab.getty.edu/aat/300446833,utkṣipta-lūmā
http://vocab.getty.edu/aat/300447123,Jinaśākhā
http://vocab.getty.edu/aat/300446926,kuḍu
http://vocab.getty.edu/aat/300446875,ṭhakāra
http://vocab.getty.edu/aat/300421619,beverage plant
http://vocab.getty.edu/aat/300435741,inuksuit
http://vocab.getty.edu/aat/300438821,Arundinaria gigantea (species)
http://vocab.getty.edu/aat/300420290,architectural anchor
http://vocab.getty.edu/aat/300422021,board and batten siding
http://vocab.getty.edu/aat/300421640,bicycle rack
http://vocab.getty.edu/aat/300423602,door enframement
http://vocab.getty.edu/aat/300420792,barrier wire
http://vocab.getty.edu/aat/300426137,home workshop
http://vocab.getty.edu/aat/300421211,building components
http://vocab.getty.edu/aat/300311162,Syringa vulgaris (species)
http://vocab.getty.edu/aat/300435577,Bixa (genus)
http://vocab.getty.edu/aat/300380456,Bixa orellana (species)
http://vocab.getty.edu/aat/300435579,Bruniaceae (family)
http://vocab.getty.edu/aat/300299154,Brunia (genus)
http://vocab.getty.edu/aat/300435584,Allium (genus)
http://vocab.getty.edu/aat/300311439,Narcissus pseudonarcissus (species)
http://vocab.getty.edu/aat/300311476,Fuchsia (genus)
http://vocab.getty.edu/aat/300311436,Allium porrum (species)
http://vocab.getty.edu/aat/300311375,Hedera (genus)
http://vocab.getty.edu/aat/300311136,Viola (genus)
http://vocab.getty.edu/aat/300423220,civic & social structures
http://vocab.getty.edu/aat/300380427,Ventilago maderaspatana (species)
http://vocab.getty.edu/aat/300380426,Chrozophora tinctoria (species)
http://vocab.getty.edu/aat/300380428,Cotinus coggygria (species)
http://vocab.getty.edu/aat/300435606,Curcuma (genus)
http://vocab.getty.edu/aat/300386705,Curcuma longa (species)
http://vocab.getty.edu/aat/300435608,Glycyrrhiza echinata (species)
http://vocab.getty.edu/aat/300420113,amusement tunnel
http://vocab.getty.edu/aat/300429978,ridge cap
http://vocab.getty.edu/aat/300420294,architectural spaces
http://vocab.getty.edu/aat/300428334,lodging facilities
http://vocab.getty.edu/aat/300420160,animal enclosure
http://vocab.getty.edu/aat/300420737,barbed wire fence
