x,l
http://vocab.getty.edu/aat/300446892,chādyakī
http://vocab.getty.edu/aat/300446855,nāgadala
http://vocab.getty.edu/aat/300446911,koḍuṅgai
http://vocab.getty.edu/aat/300447131,padmaśilā
http://vocab.getty.edu/aat/300446912,trika
http://vocab.getty.edu/aat/300446631,alpanāsī
http://vocab.getty.edu/aat/300446230,kṣudranāsī
http://vocab.getty.edu/aat/300446491,pataṅga
http://vocab.getty.edu/aat/300446379,miśra-rudrakānta
http://vocab.getty.edu/aat/300446753,gala
http://vocab.getty.edu/aat/300446528,lambinī
http://vocab.getty.edu/aat/300446200,puṣpakaṇṭha
http://vocab.getty.edu/aat/300447215,bhadraka
http://vocab.getty.edu/aat/300447320,kapōtabhadra
http://vocab.getty.edu/aat/300446759,vajrakumbha
http://vocab.getty.edu/aat/300447059,vājanapaṭṭī
http://vocab.getty.edu/aat/300446312,vēdī-mattavāraṇa
http://vocab.getty.edu/aat/300447074,galapaṭṭī
http://vocab.getty.edu/aat/300447075,prati-kaṇṭha
http://vocab.getty.edu/aat/300446829,adhaḥakampa
http://vocab.getty.edu/aat/300447110,vai-ambalam
http://vocab.getty.edu/aat/300447143,mattālamba
http://vocab.getty.edu/aat/300446274,vidyādhara-paṭṭikā
http://vocab.getty.edu/aat/300446762,kakṣakūṭaka
http://vocab.getty.edu/aat/300446824,padmōpāna
http://vocab.getty.edu/aat/300447092,kaṭakāvṛta
http://vocab.getty.edu/aat/300447303,triśūladhvaja
http://vocab.getty.edu/aat/300446210,saḍaṅga-vēdībhadra
http://vocab.getty.edu/aat/300447165,prāggrīva
http://vocab.getty.edu/aat/300446308,kuḍya
http://vocab.getty.edu/aat/300446655,ajapāda
http://vocab.getty.edu/aat/300449012,airport chapels
http://vocab.getty.edu/aat/300004591,antiparabemata
http://vocab.getty.edu/aat/300447151,khaṇḍa
http://vocab.getty.edu/aat/300443518,dīngfú
http://vocab.getty.edu/aat/300444284,two-way sheathing
http://vocab.getty.edu/aat/300410494,45 rpm adapters
http://vocab.getty.edu/aat/300445643,private family quarters
http://vocab.getty.edu/aat/300447335,uttaravēdī
http://vocab.getty.edu/aat/300446758,karṇāli
http://vocab.getty.edu/aat/300446414,karṇalatā
http://vocab.getty.edu/aat/300446755,kuḍapaḍai
http://vocab.getty.edu/aat/300446212,pallavī
http://vocab.getty.edu/aat/300446593,Nāgara-ghaṇṭā
http://vocab.getty.edu/aat/300447049,citra-pōtikā
http://vocab.getty.edu/aat/300446851,tirumāligai
http://vocab.getty.edu/aat/300446958,bhadragavākṣa
http://vocab.getty.edu/aat/300446833,utkṣipta-lūmā
http://vocab.getty.edu/aat/300447123,Jinaśākhā
http://vocab.getty.edu/aat/300446926,kuḍu
http://vocab.getty.edu/aat/300446875,ṭhakāra
http://vocab.getty.edu/aat/300420531,awning cleats
http://vocab.getty.edu/aat/300444908,silver nanoparticles
http://vocab.getty.edu/aat/300443500,micro-nanobubbles
http://vocab.getty.edu/aat/300420290,architectural anchor
http://vocab.getty.edu/aat/300422021,board and batten siding
http://vocab.getty.edu/aat/300420223,answering machine
http://vocab.getty.edu/aat/300421677,AC-DC converters
http://vocab.getty.edu/aat/300423602,door enframement
http://vocab.getty.edu/aat/300420792,barrier wire
http://vocab.getty.edu/aat/300421211,building components
http://vocab.getty.edu/aat/300420872,bathroom sink
http://vocab.getty.edu/aat/300421820,alarm
http://vocab.getty.edu/aat/300429978,ridge cap
http://vocab.getty.edu/aat/300420294,architectural spaces
http://vocab.getty.edu/aat/300431464,scale scoop
http://vocab.getty.edu/aat/300435305,potatoes
http://vocab.getty.edu/aat/300421718,adjustable-pitch propellers
http://vocab.getty.edu/aat/300449029,soaze
http://vocab.getty.edu/aat/300435225,cherry pits
http://vocab.getty.edu/aat/300421788,aircraft altimeters
http://vocab.getty.edu/aat/300431687,turbojet engines
http://vocab.getty.edu/aat/300444235,Shaker siding
http://vocab.getty.edu/aat/300433044,window element
http://vocab.getty.edu/aat/300423000,chart dividers
http://vocab.getty.edu/aat/300419423,television camera tubes
http://vocab.getty.edu/aat/300419421,vidicons
http://vocab.getty.edu/aat/300417814,pictorial cloth bindings
http://vocab.getty.edu/aat/300417902,Italian rotunda (script)
http://vocab.getty.edu/aat/300412046,DRAM (memory component)
http://vocab.getty.edu/aat/300417302,cacao (fruits)
http://vocab.getty.edu/aat/300417335,prunes (dried fruit)
http://vocab.getty.edu/aat/300411461,sliding hatches
http://vocab.getty.edu/aat/300449152,preferred parents
http://vocab.getty.edu/aat/300024951,battens (loom components)
http://vocab.getty.edu/aat/300199991,figure initials
http://vocab.getty.edu/aat/300217242,bands (collars)
http://vocab.getty.edu/aat/300411772,heels
http://vocab.getty.edu/aat/300410263,<bodies by state or condition>
http://vocab.getty.edu/aat/300067415,Composite order
http://vocab.getty.edu/aat/300404789,Brahmic scripts
http://vocab.getty.edu/aat/300404897,Florida rooms
http://vocab.getty.edu/aat/300417462,carcasses (animal bodies)
http://vocab.getty.edu/aat/300137869,kneelers (furniture)
http://vocab.getty.edu/aat/300404462,side A
http://vocab.getty.edu/aat/300033584,double-bitted keys
http://vocab.getty.edu/aat/300404259,preacher's chairs (presider's chairs)
http://vocab.getty.edu/aat/300448588,Lady altars
http://vocab.getty.edu/aat/300379302,shark teeth
http://vocab.getty.edu/aat/300411673,needles (animal components)
http://vocab.getty.edu/aat/300411355,peanuts
http://vocab.getty.edu/aat/300312354,leaflets (plant components)
http://vocab.getty.edu/aat/300435295,carrots (roots)
http://vocab.getty.edu/aat/300400633,scratch plowshares
http://vocab.getty.edu/aat/300424219,cut film holders
http://vocab.getty.edu/aat/300417867,platform soles
