x,l
http://vocab.getty.edu/aat/300447116,mahākāla
http://vocab.getty.edu/aat/300446821,padmanidhi
http://vocab.getty.edu/aat/300041563,sporting prints
http://vocab.getty.edu/aat/300443538,cǎihuàzuò
http://vocab.getty.edu/aat/300443530,yǐngzuò mùgòu
http://vocab.getty.edu/aat/300140808,delftware
http://vocab.getty.edu/aat/300449197,copy negatives
http://vocab.getty.edu/aat/300446420,rati-nāyaka-mithuna
http://vocab.getty.edu/aat/300420178,animal pictures
http://vocab.getty.edu/aat/300421753,afikomen bag
http://vocab.getty.edu/aat/300178688,screen prints
http://vocab.getty.edu/aat/300047457,"busts (general, figures)"
http://vocab.getty.edu/aat/300435269,calaveras de azucar
http://vocab.getty.edu/aat/300424891,geometric models
http://vocab.getty.edu/aat/300419408,rubber stamp art
http://vocab.getty.edu/aat/300375244,artificial flowers
http://vocab.getty.edu/aat/300378993,funeral decorations
http://vocab.getty.edu/aat/300417936,reticello ware
http://vocab.getty.edu/aat/300417945,fool's cap (watermark)
http://vocab.getty.edu/aat/300417956,talking pictures
http://vocab.getty.edu/aat/300418055,interactive architectural walkthroughs
http://vocab.getty.edu/aat/300411474,advertising photographs
http://vocab.getty.edu/aat/300417314,Arcadian landscapes (visual works)
http://vocab.getty.edu/aat/300417954,censor's seals
http://vocab.getty.edu/aat/300411515,grafbords
http://vocab.getty.edu/aat/300419265,architectural animations (films)
http://vocab.getty.edu/aat/300411662,architectural fly-throughs
http://vocab.getty.edu/aat/300404887,release prints (motion pictures)
http://vocab.getty.edu/aat/300429679,offering dishes
http://vocab.getty.edu/aat/300435273,alfeñiques
http://vocab.getty.edu/aat/300410278,burners (graffiti art)
http://vocab.getty.edu/aat/300410281,productions (graffiti art)
http://vocab.getty.edu/aat/300404884,anime (genre)
http://vocab.getty.edu/aat/300403972,cuttings (partial works)
http://vocab.getty.edu/aat/300404076,mates (companion pieces)
http://vocab.getty.edu/aat/300312355,accession numbers
http://vocab.getty.edu/aat/300380567,silverpoint drawings
http://vocab.getty.edu/aat/300400557,dried flowers
http://vocab.getty.edu/aat/300400711,pearled rosaline
http://vocab.getty.edu/aat/300400716,Milan lace
http://vocab.getty.edu/aat/300391302,communion wafers
http://vocab.getty.edu/aat/300198813,ciboria (liturgical vessels)
